"parent_industry","industry","company_id"
Education,Education,76511
Resource Industries,Oil & Gas,76513
Insurance,Insurance Carriers,76513
Utilities,Utilities,76515
Banking,Banking and Financial Services,76515
Education,Education,76515
Media,Media,76520
Construction,Construction,76520
Transportation,Transportation,76520
Telecommunications,Communications Services,76521
Education,Education,76523
Construction,Construction,76529
Education,Education,76531
Education,Education,76532
Retail,Retail,76532
Education,Education,76534
Transportation,Transportation,76534
Construction,Construction,76537
Education,Education,76537
Retail,Retail,76537
Retail,Retail,76539
Banking,Banking and Financial Services,76541
Construction,Construction,76541
Education,Education,76541
Transportation,Transportation,76541
Professional Services,Business Services,76542
Media,Media,76542
Construction,Construction,76542
Education,Education,76542
Utilities,Utilities,76543
Media,Media,76543
Construction,Construction,76543
Education,Education,76543
Transportation,Transportation,76543
Retail,Retail,76543
Education,Education,76547
Utilities,Utilities,76550
Education,Education,76550
Transportation,Transportation,76550
Retail,Retail,76550
Retail,Retail,76551
Utilities,Utilities,76552
Professional Services,Business Services,76552
Retail,Retail,76552
Media,Media,76554
Discrete Manufacturing,Automotive,76554
Education,Education,76554
Education,Education,76555
Retail,Retail,76555
Banking,Banking and Financial Services,76559
Construction,Construction,76559
Banking,Banking and Financial Services,76561
Professional Services,Software and IT Services,76565
Education,Education,76567
Professional Services,Software and IT Services,76572
Utilities,Utilities,76576
Discrete Manufacturing,Automotive,76576
Construction,Construction,76576
Education,Education,76576
Transportation,Transportation,76576
Media,Media,76577
Discrete Manufacturing,Automotive,76577
Construction,Construction,76577
Professional Services,Software and IT Services,76579
Banking,Banking and Financial Services,76582
Healthcare Provider,Health,76582
Utilities,Utilities,76587
Construction,Construction,76587
Transportation,Transportation,76587
Retail,Retail,76587
Utilities,Utilities,76589
Construction,Construction,76589
Education,Education,76593
Discrete Manufacturing,Automotive,76595
Construction,Construction,76595
Education,Education,76595
Retail,Retail,76595
Professional Services,Business Services,76596
Education,Education,76597
Retail,Retail,76597
Construction,Construction,76599
Education,Education,76599
Insurance,Insurance Carriers,76599
Professional Services,Business Services,76609
Construction,Construction,76609
Education,Education,76609
Transportation,Transportation,76609
Banking,Banking and Financial Services,76617
Telecommunications,Communications Services,76617
Transportation,Transportation,76620
Education,Education,76623
